sequence,numInputPointsT,numOutputPointsT,numBitsTotalDecT,numBitsGeoEncT,numBitsRgbEncT,numBitsRefEncT,d1T,d2T,lumaT,cbT,crT,refT,encTimeT,decTimeT,bppGeo,bppRgb,bppRef,bppTotal
soldier_viewdep_vox12,4001754,334018,388672,345696,42480.0,,64.8434,67.6432,28.3115,43.2246,43.7727,,,,0.08638612,0.01061535,,0.09712541
soldier_viewdep_vox12,4001754,1193485,1500704,1237984,262136.0,,70.4866,74.2859,33.5339,46.1189,46.934,,,,0.30936035,0.06550528,,0.37501156
soldier_viewdep_vox12,4001754,3586202,5347872,4298656,1048312.0,,75.2527,80.2063,39.0414,49.0898,49.9874,,,,1.07419297,0.26196313,,1.336382
soldier_viewdep_vox12,4001754,3834199,14945352,12754480,2189968.0,,80.029,84.8759,41.9983,50.8166,51.6188,,,,3.1872224,0.54725203,,3.73470033
boxer_viewdep_vox12,3493085,18529,23984,22968,520.0,,52.9272,54.8521,24.2638,34.4925,33.7539,,,,0.00657528,0.00014887,,0.00686614
boxer_viewdep_vox12,3493085,72822,80632,77032,3104.0,,58.9011,61.1414,27.5055,39.5141,39.0183,,,,0.02205271,0.00088861,,0.02308332
boxer_viewdep_vox12,3493085,277352,286248,264856,20896.0,,64.8442,67.6624,32.1678,43.3993,43.3426,,,,0.07582295,0.0059821,,0.08194705
boxer_viewdep_vox12,3493085,995158,1037936,938744,98688.0,,70.4869,74.2493,36.5865,47.1446,47.4692,,,,0.26874353,0.02825239,,0.29714021
boxer_viewdep_vox12,3493085,3057334,3591512,3137056,453712.0,,75.2496,80.0507,40.8075,49.6907,50.2613,,,,0.89807606,0.12988862,,1.02817767
boxer_viewdep_vox12,3493085,3307327,11030160,9969200,1060216.0,,80.0293,84.8167,43.187,50.701,51.3182,,,,2.85398151,0.30351852,,3.15771302
facade_00009_vox12,1596085,21621,35016,32824,1696.0,,52.9281,56.392,15.8959,35.3637,34.817,,,,0.02056532,0.0010626,,0.02193868
